design,lut,dsp,registers,muxes,clb_registers,carry8,f7_muxes,f8_muxes,f9_muxes,clb,meet_timing,worst_slack,period,frequency,uram,cell_lut1,cell_lut2,cell_lut3,cell_lut4,cell_lut5,cell_lut6,cell_fdre
alex,26410,392,2454,3732,14648,1188,0,0,0,42246,1,2.401,10.0,100.0,-1,582,13217,5736,3014,3981,8237,14646
google,98070,974,9249,17443,52083,3029,0,0,0,153182,1,1.909,10.0,100.0,-1,680,46969,23791,7896,14957,37873,52081
lenet,9929,168,1046,1497,5829,424,0,0,0,16182,1,4.279,10.0,100.0,-1,146,5438,1900,974,1542,3163,5829
mobile,66467,528,6128,12242,33914,1780,0,0,0,102161,1,3.251,10.0,100.0,-1,84,32464,16903,4579,8898,27917,33914
squeeze,38012,288,3507,7078,19007,931,0,0,0,57950,1,2.914,10.0,100.0,-1,83,17091,8585,3087,5793,16403,19007
vgg,23086,172,2050,4344,11591,646,0,0,0,35323,1,3.989,10.0,100.0,-1,18,10022,6595,2551,3315,9009,11591
