setting,lut,dsp,registers
"google_no-infer-share_1,1",105394,770,13722
"google_no-infer-share_4,4",112876,884,13190
"google_no-infer-share_-1,-1",112911,884,13190
"google_default_1,1",105394,770,13722
"google_default_4,4",102537,824,11262
"google_default_-1,-1",102576,824,11194
"mobile_no-infer-share_1,1",69862,392,8908
"mobile_no-infer-share_4,4",73088,460,8756
"mobile_no-infer-share_-1,-1",73093,460,8756
"mobile_default_1,1",69862,392,8908
"mobile_default_4,4",67368,460,6856
"mobile_default_-1,-1",66458,460,6576
"alex_no-infer-share_1,1",28801,376,3474
"alex_no-infer-share_4,4",29974,374,3300
"alex_no-infer-share_-1,-1",29990,374,3300
"alex_default_1,1",28801,376,3474
"alex_default_4,4",26761,314,2824
"alex_default_-1,-1",26787,314,2824
"lenet_no-infer-share_1,1",10486,152,1490
"lenet_no-infer-share_4,4",11177,156,1408
"lenet_no-infer-share_-1,-1",11173,156,1408
"lenet_default_1,1",10486,152,1490
"lenet_default_4,4",8260,96,1044
"lenet_default_-1,-1",8219,96,1044
"squeeze_no-infer-share_1,1",39952,200,5316
"squeeze_no-infer-share_4,4",41899,252,5094
"squeeze_no-infer-share_-1,-1",41899,252,5094
"squeeze_default_1,1",39951,200,5316
"squeeze_default_4,4",37387,252,3830
"squeeze_default_-1,-1",37387,252,3830
"vgg_no-infer-share_1,1",27282,152,3046
"vgg_no-infer-share_4,4",28051,172,2926
"vgg_no-infer-share_-1,-1",28055,172,2926
"vgg_default_1,1",27281,152,3046
"vgg_default_4,4",25489,172,2318
"vgg_default_-1,-1",25489,172,2318
