design/resource,"default_1,1,1","default_1,8,1","default_1,32,1","default_1,128,1","default_1,-1,1","default_8,1,1","default_8,8,1","default_8,32,1","default_8,128,1","default_8,-1,1","default_32,1,1","default_32,8,1","default_32,32,1","default_32,128,1","default_32,-1,1","default_128,1,1","default_128,8,1","default_128,32,1","default_128,128,1","default_128,-1,1","default_-1,1,1","default_-1,8,1","default_-1,32,1","default_-1,128,1","default_-1,-1,1"
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_registers,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_carry8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_lut,12135,10229,11442,10742,11454,10422,10044,13217,10597,10276,13881,10348,10968,10486,10644,12307,13514,12047,12843,10782,12442,11834,10823,10420,12120
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_lut1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_lut2,1043,705,572,1020,444,518,646,972,556,822,754,691,520,630,645,497,876,431,767,546,313,442,745,617,345
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_lut3,1444,1356,1085,1441,505,2012,1878,1324,594,793,1397,1489,791,1690,1666,1016,1670,584,1370,1259,735,619,1868,1519,642
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_lut4,2861,1301,2450,2020,1073,1198,1851,1508,1075,1443,2379,1985,2664,2152,2715,2966,2577,2939,2753,2864,1486,1554,1739,1884,2485
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_lut5,4627,1979,3662,2322,1793,1545,1962,2899,1806,1968,4177,2530,2663,2620,2713,4440,3424,3510,3967,2989,4202,2367,2738,2589,3656
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_lut6,4488,6592,5820,6247,8360,7060,5839,8321,7488,6664,6702,5571,6060,5226,4902,5246,6149,6070,5806,5099,6770,7887,5822,5771,6478
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_cell_fdre,7618,5372,5173,5063,5103,7539,5358,5169,5127,5056,7590,5420,5174,5127,5110,7624,5418,5218,5141,5094,7576,5447,5182,5130,5150
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_muxes,6499,5998,5998,5998,5999,5498,5061,5001,4998,4999,5498,5061,5014,4998,4999,5498,5061,5014,5002,4999,5498,5061,5014,5002,5000
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_clb,19755,15604,16619,15810,16558,17964,15403,18397,15725,15346,21482,15769,16158,15617,15757,19932,18934,17270,17985,15899,20061,17310,16006,15581,17305
synthetic-results_one-fsm_resource_numbers_synthetic_one-fsm_futil_json_worst_slack,1.604,1.551,2.494,1.938,1.556,1.481,2.507,1.014,2.279,1.666,0.427,1.824,1.665,1.074,1.477,2.374,-0.028,2.266,0.635,1.985,2.062,1.984,1.462,2.21,2.332
