design/resource,"default_1,1,1","default_1,8,1","default_1,32,1","default_1,128,1","default_1,-1,1","default_8,1,1","default_8,8,1","default_8,32,1","default_8,128,1","default_8,-1,1","default_32,1,1","default_32,8,1","default_32,32,1","default_32,128,1","default_32,-1,1","default_128,1,1","default_128,8,1","default_128,32,1","default_128,128,1","default_128,-1,1","default_-1,1,1","default_-1,8,1","default_-1,32,1","default_-1,128,1","default_-1,-1,1"
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_registers,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_carry8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_lut,10149,10540,12096,11258,10654,12252,10494,10877,10536,10385,10919,11756,10566,9850,10019,10713,11304,10045,10186,9920,12330,11259,10084,9398,9494
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_lut1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,242,-1,-1,-1,1,6,1,-1,-1,-1,91,2,-1,-1,-1
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_lut2,636,353,272,358,367,588,328,202,216,198,239,383,230,237,235,240,397,212,170,213,907,576,232,238,329
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_lut3,2078,332,274,821,929,2014,329,642,886,1059,1425,361,789,1209,1164,1666,115,1067,881,992,1530,929,1139,1278,1322
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_lut4,1661,3012,1694,1595,1272,1705,4047,2170,1474,1204,2444,3123,1823,914,897,1637,3491,1286,989,836,1792,2175,921,650,619
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_lut5,2245,1724,1780,2131,2103,2272,1575,1742,1850,1879,2141,1972,1897,1935,1979,2125,1958,1950,1890,2048,2235,2104,1988,1918,2130
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_lut6,5835,6691,9124,7710,7276,7769,5650,7223,7094,7096,6133,7352,7057,6814,6919,6505,6615,6611,7208,6861,7881,7175,6916,6544,6534
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_cell_fdre,7594,5409,5179,5116,5105,7602,5409,5174,5134,5115,7594,5413,5174,5119,5112,7594,5409,5174,5114,5116,7626,5413,5174,5132,5127
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_muxes,6481,5979,6017,6011,6012,5481,5042,5020,5011,5012,5519,5061,5033,5011,5012,5561,5112,5060,5015,5012,5561,5122,5080,5003,5013
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_clb,17743,15950,17276,16374,15760,19856,15903,16051,15670,15500,18515,17171,15740,14972,15133,18314,16715,15219,15300,15038,19956,16681,15258,14532,14624
synthetic-results_no-cheating-4_resource_numbers_synthetic_no-cheating-4_futil_json_worst_slack,4.044,4.344,4.656,3.649,4.054,2.929,4.243,3.944,3.767,3.631,3.551,3.473,4.172,4.033,3.843,3.433,2.932,3.078,3.827,2.773,1.979,2.031,3.396,4.059,3.709
