setting,"lut_1,1","lut_4,4","lut_-1,-1","dsp_1,1","dsp_4,4","dsp_-1,-1","registers_1,1","registers_4,4","registers_-1,-1"
alex_fully-inline,30083,26139,22788,376,100,38,2580,1570,1398
alex_no-infer-share,29082,30120,30145,376,374,374,3372,3202,3202
alex_default,29085,26859,26824,376,314,314,3372,2741,2741
google_fully-inline,119171,114980,101502,770,248,38,9851,5709,4758
google_no-infer-share,106839,113609,113646,770,884,884,13443,12915,12915
google_default,106839,104947,105169,770,824,824,13443,11002,10934
lenet_fully-inline,10372,9312,9602,152,42,38,1110,713,670
lenet_no-infer-share,10523,11204,11197,152,156,156,1446,1366,1366
lenet_default,10523,8327,8290,152,96,96,1446,1017,1017
mobile_fully-inline,86565,74991,71897,392,134,10,6390,3756,3141
mobile_no-infer-share,72337,76023,76023,392,460,460,8750,8598,8598
mobile_default,72337,68394,67838,392,460,460,8750,6698,6418
squeeze_fully-inline,46670,43232,35934,200,76,10,3771,2183,1813
squeeze_no-infer-share,40871,42892,42892,200,252,252,5229,5007,5007
squeeze_default,40872,38506,38504,200,252,252,5229,3743,3743
vgg_fully-inline,26853,26316,22203,152,46,10,2184,1270,1087
vgg_no-infer-share,27337,29041,29041,152,172,172,2994,2874,2874
vgg_default,27337,26295,26295,152,172,172,2994,2266,2266
